Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
6.2 tỷ,62 m2,10m,5,"Đường Hoàng Hoa Thám, Phường Cống Vị, Quận Ba Đình, Hà Nội"
2 tỷ,25 m2,3m,5,"Phố Giang Văn Minh, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
6.7 tỷ,50 m2,5m,4,"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội"
6.1 tỷ,60 m2,10m,7,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
6.4 tỷ,65 m2,10m,5,"Đường Kim Mã, Phường Cống Vị, Quận Ba Đình, Hà Nội"
2 ngàn,22 m2,3m,3,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
11.5 tỷ,45 m2,6m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
8.5 tỷ,62 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.6 tỷ,35 m2,3m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
2.5 tỷ,25 m2,3m,3,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
2.6 tỷ,26 m2,3m,3,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
2.6 tỷ,25 m2,4m,5,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.9 tỷ,42 m2,3m,4,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội"
6.5 tỷ,58 m2,3m,5,"Phố Giang Văn Minh, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
9 tỷ,70 m2,"3,5m",5,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
7.5 tỷ,56 m2,5m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.95 tỷ,57 m2,2m,3,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
4.4 tỷ,32 m2,5m,3,"Phố Nguyễn Thái Học, Quận Ba Đình, Hà Nội"
17.6 tỷ,90 m2,5m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
2.5 tỷ,23 m2,3m,4,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
5.4 tỷ,59 m2,3m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
9.3 tỷ,109 m2,"3,5m",2,"Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
10 tỷ,104 m2,4m,0,"Phố Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội"
5.5 tỷ,60 m2,3m,5,"Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
2.95 tỷ,40 m2,3m,1,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội"
1.5 tỷ,40 m2,3m,5,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
10 tỷ,81 m2,4m,3,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
7.3 tỷ,53 m2,"3,5m",7,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
5.35 tỷ,40 m2,3m,5,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
2.85 tỷ,30 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
5.1 tỷ,40 m2,3m,5,"Đường La Thành, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
5.2 tỷ,42 m2,3m,4,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
4.7 tỷ,50 m2,2m,3,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
5.9 tỷ,50 m2,3m,5,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
